Column Name,Description,Data Type,Allowed Values,Data Coding
fr_do05_SHIotherpast,Last 5 years - Other helps for healthcare coverage,Categorical,"0, 1",0=Not selected; 1=Selected
fr_do06_pay,SHI premium amount,Numeric,,
fr_do06_per,SHI premium - monthly vs annually,Categorical,"1, 2",1=Monthly; 2=Annually
fr_do07_peo,SHI - number of people covered,Numeric,,
fr_do08_aff,No SHI - cannot afford,Categorical,"0, 1",0=Not selected; 1=Selected
fr_do08_ald,No SHI - fully covered (ALD),Categorical,"0, 1",0=Not selected; 1=Selected
fr_do08_nee,No SHI - don't need coverage,Categorical,"0, 1",0=Not selected; 1=Selected
fr_do08_ret,No SHI - retirement or unemployment,Categorical,"0, 1",0=Not selected; 1=Selected
fr_do08_tim,No SHI - no time for this,Categorical,"0, 1",0=Not selected; 1=Selected
fr_do08_how,No SHI - don't know how,Categorical,"0, 1",0=Not selected; 1=Selected
fr_do08_sub,No SHI - in process of subscription,Categorical,"0, 1",0=Not selected; 1=Selected
fr_do08_oth,No SHI - other,Categorical,"0, 1",0=Not selected; 1=Selected
fr_do08_dkw,No SHI - Don't know,Categorical,"0, 1",0=Not selected; 1=Selected
fr_do09_job,Difficulties - job loss,Categorical,"0, 1",0=Not selected; 1=Selected
fr_do09_ret,Difficulties - retirement,Categorical,"0, 1",0=Not selected; 1=Selected
fr_do09_sit,Difficulties - change in family situation,Categorical,"0, 1",0=Not selected; 1=Selected
fr_do09_los,Difficulties - loss of social benefit,Categorical,"0, 1",0=Not selected; 1=Selected
fr_do09_oth,Difficulties - other reason,Categorical,"0, 1",0=Not selected; 1=Selected
fr_do09_no,Difficulties - no,Categorical,"0, 1",0=Not selected; 1=Selected
fr_do09_dkw,Difficulties - don't know,Categorical,"0, 1",0=Not selected; 1=Selected
fr_do10_sup,Denied coverage - SHI,Categorical,"0, 1",0=Not selected; 1=Selected
fr_do10_ltc,Denied coverage - long-term care/disability insurance,Categorical,"0, 1",0=Not selected; 1=Selected
fr_do10_loa,Denied coverage - loan insurance,Categorical,"0, 1",0=Not selected; 1=Selected
fr_do10_oth,Denied coverage - another type,Categorical,"0, 1",0=Not selected; 1=Selected
fr_do10_no,Denied coverage - no,Categorical,"0, 1",0=Not selected; 1=Selected
fr_do10_dkw,Denied coverage - don't know,Categorical,"0, 1",0=Not selected; 1=Selected
fr_do11_ris,Risk-aversion,Categorical,"0, 10",0=Very cautious; 10=Very willing to take risks
fr_do12_fut,Concerns about future,Categorical,"0, 10",0=Lives day to day; 10=Thinks about the future/Has foresight
fr_do13_imp,Impatience/impulsivity,Categorical,"0, 10","0=Very impatient, impulsive; 10=Very patient, thoughtful"
fr_do14_urn,Ambiguity aversion,Categorical,"1, 2",1=50 white - 50 red; 2=Random proportion of white and red balls
fr_do15_don,Time preferences - Present,Categorical,"1, 2",1=1000 â‚¬ today; 2=1500 â‚¬ in 2 years
fr_do16_don,Time preferences - Future,Categorical,"1, 2",1=1000 â‚¬ in 5 years; 2=1500 â‚¬ in 7 years
fr_do17_mon,Correlation aversion,Categorical,"1, 2, 3",1=Good health; 2=Bad health; 3=Equally in good or bad health
fr_do18_5y,Self-perceived disability risk - 5 years,Numeric,,
fr_do18_10y,Self-perceived disability risk - 10 years,Numeric,,
fr_do18_20y,Self-perceived disability risk - 20 years,Numeric,,
fr_do19_5y,Self-perceived life expectancy - 5 years,Numeric,,
fr_do19_10y,Self-perceived life expectancy - 10 years,Numeric,,
fr_do19_20y,Self-perceived life expectancy - 20 years,Numeric,,
gr_FS1_a,Parents' duty: do their best for their children (even at own expense),Categorical,"1, 2, 3, 4, 5",1=Strongly agree; 2=Agree; 3=Neither agree nor disagree; 4=Disagree; 5=Strongly disagree
gr_FS1_b,Grandparents' duty: be there for grandchildren in case of difficulty,Categorical,"1, 2, 3, 4, 5",1=Strongly agree; 2=Agree; 3=Neither agree nor disagree; 4=Disagree; 5=Strongly disagree
gr_FS1_c,Grandparents' duty: contribute to the economic security of grandchildren,Categorical,"1, 2, 3, 4, 5",1=Strongly agree; 2=Agree; 3=Neither agree nor disagree; 4=Disagree; 5=Strongly disagree
gr_FS1_d,Grandparents' duty: help grandchildren's parents to look after grandchildren,Categorical,"1, 2, 3, 4, 5",1=Strongly agree; 2=Agree; 3=Neither agree nor disagree; 4=Disagree; 5=Strongly disagree
gr_FS2_a,Family or state responsible: Financial support of older persons in need,Categorical,"1, 2, 3, 4, 5",1=Totally family; 2=Mainly family; 3=Both equally; 4=Mainly state; 5=Totally state
gr_FS2_b,Family or state responsible: Help with household chores for older persons in nee,Categorical,"1, 2, 3, 4, 5",1=Totally family; 2=Mainly family; 3=Both equally; 4=Mainly state; 5=Totally state
gr_FS2_c,Family or state responsible: Personal care for older persons in need,Categorical,"1, 2, 3, 4, 5",1=Totally family; 2=Mainly family; 3=Both equally; 4=Mainly state; 5=Totally state
gr_FS2_d,Family or state responsible: Financial support for unemployed in need,Categorical,"1, 2, 3, 4, 5",1=Totally family; 2=Mainly family; 3=Both equally; 4=Mainly state; 5=Totally state
gr_FS3,State should allocate fewer resources to pensions and more to help unemployed,Categorical,"1, 2, 3, 4, 5",1=Totally disagree; 2=Partly  disagree; 3=Not agree nor disagree; 4=Partly agree; 5=Totally agree
gr_FS4,Receive personal care/help with household chores for pay by an informal carer,Categorical,"1, 2",1=Yes; 2=No
gr_FS4_a,Is that person a migrant or local?,Categorical,"1, 2",1=Migrant; 2=Local
gr_FS4_b,Is that person male or female?,Categorical,"1, 2",1=Male; 2=Female
gr_FS4_c,Approximately what age is that person?,Categorical,"8888, 9999",8888=NA; 9999=DK
gr_FS5,How often do you receive personal care and/or help with household chores?,Categorical,"1, 2, 3, 4, 5, 6","1=Every day, carer lives in the household; 2=Every day, carer does not live in the household; 3=Four or more times a week; 4=Two or three times a week; 5=Once a week; 6=Less often than once a week"
gr_FS6,Do you pay for that person's social insurance (the ergosimo system)?,Categorical,"1, 2, 3",1=Yes; 2=No; 3=I am not aware of such an obligation
gr_FS7,Who is responsible to pay for long-term care for older people?,Categorical,"1, 2, 3, 4",1=The State or local authorities; 2=Own responsibility through private insurance or out-of pocket payments; 3=The family; 4=The Church or philanthropic organisations
gr_FS8,"If shortage of public money to pay for long-term care, how collect money?",Categorical,"1, 2, 3, 4, 5, 6","1=Through additional social security contributions and taxes; 2=Through voluntary private insurance; 3=Through a combination of additional social security contributions, taxes and vol; 4=People should be ready to pay for long-term care services directly out-of-pocket; 5=Family and/or friends should provide informal care at no cost; 6=Economies should be made so that no extra money is needed"
gr_FS9,Are you aware of the Help at Home program provided by the Municipalities?,Categorical,"1, 2",1=Yes; 2=No
gr_FS10,Have you ever applied for the Help at Home program?,Categorical,"1, 2",1=Yes; 2=No
gr_FS10_a,What was the result of the application?,Categorical,"1, 2, 3",1=Approved; 2=Rejected; 3=Still in progress
gr_FS10_b,Beneficiary of the Help at Home program: are you satisfied with services provide,Categorical,"1, 2, 3, 4, 5","1=Satisfied, all the time; 2=Satisfied, most of the time; 3=Satisfied, sometimes; 4=Not satisfied most of the time; 5=Not satisfied -  all the time"
gr_FS11,Where would you place your household according to its current income?,Categorical,"8888, 9999",8888=NA; 9999=DK
gr_FS12,In Greece the risk of being poor is:,Categorical,"-1, 1, 2, 3",-1=I don’t know; 1=higher among the elderly (persons aged over 65 years) than among the working age; 2=lower among the elderly (persons aged over 65 years) than among the working age; 3=equal among the elderly (persons aged over 65 years) and the working age individ
gr_FS13_a,Can your household afford: to regularly buy groceries/household supplies,Categorical,"1, 2",1=Yes; 2=No
gr_FS13_b,Can your household afford: to pay an unexpected expense of 500 â‚¬,Categorical,"1, 2",1=Yes; 2=No
gr_FS13_c,Can your household afford: to pay utility bills on time,Categorical,"1, 2",1=Yes; 2=No
gr_FS13_d,Can your household afford: to consume fruits/vegetables 3+ times a week,Categorical,"1, 2",1=Yes; 2=No
gr_FS13_e,Can your household afford: to go for a week-long holiday once a year,Categorical,"1, 2",1=Yes; 2=No
gr_FS13_f,Can your household afford: to replace furniture,Categorical,"1, 2",1=Yes; 2=No
gr_FS14_a,Does your household have: a car/van for private use?,Categorical,"1, 5, 7","1=Yes; 5=No, because cannot afford it; 7=No, because do not want/ need it"
gr_FS14_b,Does your household have: a washing machine?,Categorical,"1, 5, 7","1=Yes; 5=No, because cannot afford it; 7=No, because do not want/ need it"
gr_FS14_c,Does your household have: a TV?,Categorical,"1, 5, 7","1=Yes; 5=No, because cannot afford it; 7=No, because do not want/ need it"
gr_FS14_d,Does your household have: a computer?,Categorical,"1, 5, 7","1=Yes; 5=No, because cannot afford it; 7=No, because do not want/ need it"
gr_FS15_1_a,Borrow money 2017-2019: not necessary,Categorical,"0, 1",0=No; 1=Yes
gr_FS15_1_b,Borrow money after 2019: not necessary,Categorical,"0, 1",0=No; 1=Yes
gr_FS15_2_a,Borrow money 2017-2019: close family circle,Categorical,"0, 1",0=No; 1=Yes
gr_FS15_2_b,Borrow money after 2019: close family circle,Categorical,"0, 1",0=No; 1=Yes
gr_FS15_3_a,Borrow money 2017-2019: other relatives,Categorical,"0, 1",0=No; 1=Yes
gr_FS15_3_b,Borrow money after 2019: other relatives,Categorical,"0, 1",0=No; 1=Yes
gr_FS15_4_a,Borrow money 2017-2019: friends,Categorical,"0, 1",0=No; 1=Yes
gr_FS15_4_b,Borrow money after 2019: friends,Categorical,"0, 1",0=No; 1=Yes
gr_FS15_5_a,Borrow money 2017-2019: banks or credit cards,Categorical,"0, 1",0=No; 1=Yes
gr_FS15_5_b,Borrow money after 2019: banks or credit cards,Categorical,"0, 1",0=No; 1=Yes
gr_FS15_6_a,Borrow money 2017-2019: pawn shop,Categorical,"0, 1",0=No; 1=Yes
gr_FS15_6_b,Borrow money after 2019: pawn shop,Categorical,"0, 1",0=No; 1=Yes
gr_FS15_7_a,Borrow money 2017-2019: money lenders,Categorical,"0, 1",0=No; 1=Yes
gr_FS15_7_b,Borrow money after 2019: money lenders,Categorical,"0, 1",0=No; 1=Yes
gr_FS16_1a,Forced to sell valuable asset 2017-2019: yes,Categorical,"0, 1",0=No; 1=Yes
gr_FS16_1b,Forced to sell valuable asset after 2019: yes,Categorical,"0, 1",0=No; 1=Yes
gr_FS16_2a,Forced to sell valuable asset 2017-2019: no,Categorical,"0, 1",0=No; 1=Yes
gr_FS16_2b,Forced to sell valuable asset after 2019: no,Categorical,"0, 1",0=No; 1=Yes
gr_FS16_3a,Forced to sell valuable asset 2017-2019: I wanted to sell but didn't,Categorical,"0, 1",0=No; 1=Yes
gr_FS16_3b,Forced to sell valuable asset after 2019: I wanted to sell but didn't,Categorical,"0, 1",0=No; 1=Yes
gr_FS16_4a,Forced to sell valuable asset 2017-2019: I have no assets,Categorical,"0, 1",0=No; 1=Yes
gr_FS16_4b,Forced to sell valuable asset after 2019: I have no assets,Categorical,"0, 1",0=No; 1=Yes
gr_FS17_1a,Accumulated debts 2017-2019: tax,Categorical,"0, 1",0=No; 1=Yes
gr_FS17_1b,Accumulated debts after 2019: tax,Categorical,"0, 1",0=No; 1=Yes
gr_FS17_2a,Accumulated debts 2017-2019: fund,Categorical,"0, 1",0=No; 1=Yes
gr_FS17_2b,Accumulated debts after 2019: fund,Categorical,"0, 1",0=No; 1=Yes
gr_FS17_3a,Accumulated debts 2017-2019: banks,Categorical,"0, 1",0=No; 1=Yes
gr_FS17_3b,Accumulated debts after 2019: banks,Categorical,"0, 1",0=No; 1=Yes
gr_FS17_4a,Accumulated debts 2017-2019: electricity or other utilities,Categorical,"0, 1",0=No; 1=Yes
gr_FS17_4b,Accumulated debts after 2019: electricity or other utilities,Categorical,"0, 1",0=No; 1=Yes
gr_FS17_5a,Accumulated debts 2017-2019: I have no debts,Categorical,"0, 1",0=No; 1=Yes
gr_FS17_5b,Accumulated debts after 2019: I have no debts,Categorical,"0, 1",0=No; 1=Yes
gr_FS18,Household payment to unified property tax (ENFIA) last 12 months,Categorical,"8888, 9999",8888=NA; 9999=DK
gr_FS19,This was for:,Categorical,"1, 2, 3, 4",1=Primary residence; 2=Secondary residences / other property; 3=Both; 4=Does not apply
gr_FS20,In which public fund were you registered for primary old age pension before 2016,Categorical,"1, 2, 3, 4, 5, 6, 7, 8, 9",1=IKA-ETAM; 2=Funds consolidated to IKA after 2008; 3=Civil Servants; 4=OAEE; 5=OGA; 6=ETAA; 7=NAT; 8=Other/ more than one; 9=I don't know which fund
gr_FS21,Registered for/receiving an old age supplementary pension?,Categorical,"1, 2, 3, 4",1=Yes - ETEA; 2=Yes - Other supp. fund; 3=No; 4=I don't know
gr_FS22,Worked for periods with no contributions registered at social insurance funds?,Categorical,"1, 2",1=Yes; 2=No
gr_FS22a,How many years approximately?,Categorical,"8888, 9999",8888=NA; 9999=DK
gr_FS23,"If  you already retired, were you eligible to receive a separation benefit?",Categorical,"1, 2, 3",1=Yes; 2=Íï; 3=I am not retired yet
gr_FS24,Years (in total) in employment,Categorical,"8888, 9999",8888=NA; 9999=DK
gr_FS25,"Buy in years of insurance cover, for which you had to pay separately?",Categorical,"1, 2",1=Yes; 2=No
gr_FS25a,How many years?,Categorical,"8888, 9999",8888=NA; 9999=DK
gr_FS25b_1,Was this due to: 1st choice,Categorical,"1, 2, 3, 4",1=Military service; 2=Studies; 3=Raising children; 4=Other reason
gr_FS25b_2,Was this due to: 2nd choice,Categorical,"1, 2, 3, 4",1=Military service; 2=Studies; 3=Raising children; 4=Other reason
gr_FS26_1,Months waiting for permanent pension to be paid out: main pension,Categorical,"8888, 9999",8888=NA; 9999=DK
gr_FS26_2,Months waiting for permanent pension to be paid out: supplementary pension,Categorical,"8888, 9999",8888=NA; 9999=DK
gr_FS26_3,Months waiting for permanent pension to be paid out: separation payment,Categorical,"8888, 9999",8888=NA; 9999=DK
gr_FS27,After stopping work: entitled to a temporary pension?,Categorical,"1, 2",1=Yes; 2=No
gr_FS27a,How many months after the retirement was it issued?,Categorical,"8888, 9999",8888=NA; 9999=DK
gr_FS27b,In the past twelve months have you received one or more of the following benefit,Categorical,"1, 2, 3, 4, 5",1=Social solidarity income; 2=Heating benefit; 3=Unemployment benefit; 4=Other benefit ( please specify); 5=Fuel pass
il_Q1_1,Stay in my current place,Categorical,"-9, -5, -2, -1, 1, 2, 3, 4",-9=N.A; -5=No answer; -2=Refusal; -1=Don't know; 1=Not at all agree; 2=Slightly Agree; 3=Somewhat Agree; 4=Strongly Agree
il_Q1_2,Leave my house,Categorical,"-9, -5, -2, -1, 1, 2, 3, 4",-9=N.A; -5=No answer; -2=Refusal; -1=Don't know; 1=Not at all agree; 2=Slightly Agree; 3=Somewhat Agree; 4=Strongly Agree
il_Q1_3,Leave my neighborhood,Categorical,"-9, -5, -2, -1, 1, 2, 3, 4",-9=N.A; -5=No answer; -2=Refusal; -1=Don't know; 1=Not at all agree; 2=Slightly Agree; 3=Somewhat Agree; 4=Strongly Agree
il_Q1_4,Move to a nursing home,Categorical,"-9, -5, -2, -1, 1, 2, 3, 4",-9=N.A; -5=No answer; -2=Refusal; -1=Don't know; 1=Not at all agree; 2=Slightly Agree; 3=Somewhat Agree; 4=Strongly Agree
il_Q1_5,Live within a walking distance of my family,Categorical,"-9, -5, -2, -1, 1, 2, 3, 4",-9=N.A; -5=No answer; -2=Refusal; -1=Don't know; 1=Not at all agree; 2=Slightly Agree; 3=Somewhat Agree; 4=Strongly Agree
il_Q1_6,Live within a walking distance of my friends,Categorical,"-9, -5, -2, -1, 1, 2, 3, 4",-9=N.A; -5=No answer; -2=Refusal; -1=Don't know; 1=Not at all agree; 2=Slightly Agree; 3=Somewhat Agree; 4=Strongly Agree
il_Q1_7,Financial situation does not allow me to move,Categorical,"-9, -5, -2, -1, 1, 2, 3, 4",-9=N.A; -5=No answer; -2=Refusal; -1=Don't know; 1=Not at all agree; 2=Slightly Agree; 3=Somewhat Agree; 4=Strongly Agree
il_Q2_1,Regular physical exercise,Categorical,"-9, -5, -2, -1, 1, 2, 3, 4",-9=N.A; -5=No answer; -2=Refusal; -1=Don't know; 1=Not at all agree; 2=Slightly Agree; 3=Somewhat Agree; 4=Strongly Agree
il_Q2_2,Taking appropriate medication,Categorical,"-9, -5, -2, -1, 1, 2, 3, 4",-9=N.A; -5=No answer; -2=Refusal; -1=Don't know; 1=Not at all agree; 2=Slightly Agree; 3=Somewhat Agree; 4=Strongly Agree
il_Q2_3,Regular vision examination,Categorical,"-9, -5, -2, -1, 1, 2, 3, 4",-9=N.A; -5=No answer; -2=Refusal; -1=Don't know; 1=Not at all agree; 2=Slightly Agree; 3=Somewhat Agree; 4=Strongly Agree
il_Q2_4,Regular hearing examination,Categorical,"-9, -5, -2, -1, 1, 2, 3, 4",-9=N.A; -5=No answer; -2=Refusal; -1=Don't know; 1=Not at all agree; 2=Slightly Agree; 3=Somewhat Agree; 4=Strongly Agree
il_Q2_5,Adapting indoor and outdoor environment,Categorical,"-9, -5, -2, -1, 1, 2, 3, 4",-9=N.A; -5=No answer; -2=Refusal; -1=Don't know; 1=Not at all agree; 2=Slightly Agree; 3=Somewhat Agree; 4=Strongly Agree
il_Q2_6,Use of walking aids,Categorical,"-9, -5, -2, -1, 1, 2, 3, 4",-9=N.A; -5=No answer; -2=Refusal; -1=Don't know; 1=Not at all agree; 2=Slightly Agree; 3=Somewhat Agree; 4=Strongly Agree
il_Q2_7,Healthy nutrition,Categorical,"-9, -5, -2, -1, 1, 2, 3, 4",-9=N.A; -5=No answer; -2=Refusal; -1=Don't know; 1=Not at all agree; 2=Slightly Agree; 3=Somewhat Agree; 4=Strongly Agree
il_Q3_1,Feel useful to your family,Categorical,"-9, -5, -3, -2, 1, 2, 3, 4",-9=N.A; -5=No answer; -3=Implausible value/suspected wrong; -2=Refusal; 1=Never; 2=Rare; 3=Sometimes; 4=Often
il_Q3_2,Feel useful to your friends,Categorical,"-9, -5, -3, -2, 1, 2, 3, 4",-9=N.A; -5=No answer; -3=Implausible value/suspected wrong; -2=Refusal; 1=Never; 2=Rare; 3=Sometimes; 4=Often
il_Q3_3,Feel useful to the community,Categorical,"-9, -5, -3, -2, 1, 2, 3, 4",-9=N.A; -5=No answer; -3=Implausible value/suspected wrong; -2=Refusal; 1=Never; 2=Rare; 3=Sometimes; 4=Often
il_Q3_4,Others asked you for advice,Categorical,"-9, -5, -3, -2, 1, 2, 3, 4",-9=N.A; -5=No answer; -3=Implausible value/suspected wrong; -2=Refusal; 1=Never; 2=Rare; 3=Sometimes; 4=Often
il_Q4_1,Older people are not involved in sexual activity,Categorical,"-9, -5, -2, -1, 1, 2, 3, 4",-9=N.A; -5=No answer; -2=Refusal; -1=Don't know; 1=Not at all agree; 2=Slightly Agree; 3=Somewhat Agree; 4=Strongly Agree
